question,answer,level,topic
What is regularization? (Q1),Techniques like L1 and L2 to reduce overfitting by penalizing large coefficients.,Medium,Data Preprocessing
What is dropout in neural networks? (Q2),A regularization technique that randomly drops neurons during training to prevent overfitting.,Medium,Feature Engineering
Explain the difference between supervised and unsupervised learning. (Q3),"Supervised learning uses labeled data, unsupervised learning finds patterns in unlabeled data.",Beginner,Evaluation Metrics
How does a convolutional neural network (CNN) work? (Q4),"CNNs use convolutional layers to extract features from images, capturing spatial hierarchies.",Beginner,Algorithms
Explain the difference between supervised and unsupervised learning. (Q5),"Supervised learning uses labeled data, unsupervised learning finds patterns in unlabeled data.",Medium,Feature Engineering
Explain the bias-variance tradeoff. (Q6),"Tradeoff between model complexity and accuracy; high bias causes underfitting, high variance causes overfitting.",Medium,Machine Learning Basics
What is gradient descent? (Q7),An optimization algorithm to minimize the loss function by iteratively moving in the direction of steepest descent.,Beginner,Deep Learning
What is dropout in neural networks? (Q8),A regularization technique that randomly drops neurons during training to prevent overfitting.,Advanced,Deep Learning
What is the curse of dimensionality? (Q9),Problems caused by high dimensional feature spaces leading to sparse data and model overfitting.,Medium,Deep Learning
What is overfitting in machine learning? (Q10),"When a model learns the training data too well including noise, failing to generalize to new data.",Medium,Machine Learning Basics
What is overfitting in machine learning? (Q11),"When a model learns the training data too well including noise, failing to generalize to new data.",Beginner,Statistics
What is overfitting in machine learning? (Q12),"When a model learns the training data too well including noise, failing to generalize to new data.",Medium,Data Preprocessing
What is a confusion matrix? (Q13),"A table used to describe the performance of a classification model by showing true positives, false positives, etc.",Medium,Machine Learning Basics
Explain the difference between supervised and unsupervised learning. (Q14),"Supervised learning uses labeled data, unsupervised learning finds patterns in unlabeled data.",Beginner,Algorithms
What is regularization? (Q15),Techniques like L1 and L2 to reduce overfitting by penalizing large coefficients.,Beginner,Machine Learning Basics
Explain the vanishing gradient problem. (Q16),"In deep networks, gradients become very small, making training difficult.",Advanced,Model Deployment
What is gradient descent? (Q17),An optimization algorithm to minimize the loss function by iteratively moving in the direction of steepest descent.,Advanced,Model Deployment
What is a confusion matrix? (Q18),"A table used to describe the performance of a classification model by showing true positives, false positives, etc.",Beginner,Feature Engineering
What is dropout in neural networks? (Q19),A regularization technique that randomly drops neurons during training to prevent overfitting.,Advanced,Statistics
What is dropout in neural networks? (Q20),A regularization technique that randomly drops neurons during training to prevent overfitting.,Advanced,Algorithms
Explain the bias-variance tradeoff. (Q21),"Tradeoff between model complexity and accuracy; high bias causes underfitting, high variance causes overfitting.",Medium,Model Deployment
What is overfitting in machine learning? (Q22),"When a model learns the training data too well including noise, failing to generalize to new data.",Beginner,Neural Networks
Explain the bias-variance tradeoff. (Q23),"Tradeoff between model complexity and accuracy; high bias causes underfitting, high variance causes overfitting.",Medium,Model Deployment
What is a confusion matrix? (Q24),"A table used to describe the performance of a classification model by showing true positives, false positives, etc.",Beginner,Evaluation Metrics
What is regularization? (Q25),Techniques like L1 and L2 to reduce overfitting by penalizing large coefficients.,Medium,Data Preprocessing
Explain the bias-variance tradeoff. (Q26),"Tradeoff between model complexity and accuracy; high bias causes underfitting, high variance causes overfitting.",Advanced,Statistics
What is gradient descent? (Q27),An optimization algorithm to minimize the loss function by iteratively moving in the direction of steepest descent.,Medium,Feature Engineering
What is gradient descent? (Q28),An optimization algorithm to minimize the loss function by iteratively moving in the direction of steepest descent.,Beginner,Algorithms
What is gradient descent? (Q29),An optimization algorithm to minimize the loss function by iteratively moving in the direction of steepest descent.,Medium,Feature Engineering
How does a convolutional neural network (CNN) work? (Q30),"CNNs use convolutional layers to extract features from images, capturing spatial hierarchies.",Beginner,Evaluation Metrics
Explain the bias-variance tradeoff. (Q31),"Tradeoff between model complexity and accuracy; high bias causes underfitting, high variance causes overfitting.",Advanced,Machine Learning Basics
Explain the difference between supervised and unsupervised learning. (Q32),"Supervised learning uses labeled data, unsupervised learning finds patterns in unlabeled data.",Advanced,Statistics
What is regularization? (Q33),Techniques like L1 and L2 to reduce overfitting by penalizing large coefficients.,Medium,Model Deployment
What is regularization? (Q34),Techniques like L1 and L2 to reduce overfitting by penalizing large coefficients.,Advanced,Algorithms
What is regularization? (Q35),Techniques like L1 and L2 to reduce overfitting by penalizing large coefficients.,Beginner,Evaluation Metrics
Explain the bias-variance tradeoff. (Q36),"Tradeoff between model complexity and accuracy; high bias causes underfitting, high variance causes overfitting.",Beginner,Evaluation Metrics
Explain the vanishing gradient problem. (Q37),"In deep networks, gradients become very small, making training difficult.",Beginner,Optimization
What is dropout in neural networks? (Q38),A regularization technique that randomly drops neurons during training to prevent overfitting.,Advanced,Machine Learning Basics
Explain the vanishing gradient problem. (Q39),"In deep networks, gradients become very small, making training difficult.",Beginner,Statistics
What is the curse of dimensionality? (Q40),Problems caused by high dimensional feature spaces leading to sparse data and model overfitting.,Medium,Evaluation Metrics
